No,Sepal Length,Sepal Width,Petal Length,Petal Width,Species
1,5.1,3.5,1.4,0.2,I. setosa
2,4.9,3,1.4,0.2,I. setosa
3,4.7,3.2,1.3,0.2,I. setosa
4,4.6,3.1,1.5,0.2,I. setosa
5,5,3.6,1.4,0.3,I. setosa
6,5.4,3.9,1.7,0.4,I. setosa
7,4.6,3.4,1.4,0.3,I. setosa
8,5,3.4,1.5,0.2,I. setosa
9,4.4,2.9,1.4,0.2,I. setosa
10,4.9,3.1,1.5,0.1,I. setosa
11,5.4,3.7,1.5,0.2,I. setosa
12,4.8,3.4,1.6,0.2,I. setosa
13,4.8,3,1.4,0.1,I. setosa
14,4.3,3,1.1,0.1,I. setosa
15,5.8,4,1.2,0.2,I. setosa
16,5.7,4.4,1.5,0.4,I. setosa
17,5.4,3.9,1.3,0.4,I. setosa
18,5.1,3.5,1.4,0.3,I. setosa
19,5.7,3.8,1.7,0.3,I. setosa
20,5.1,3.8,1.5,0.3,I. setosa
21,5.4,3.4,1.7,0.2,I. setosa
22,5.1,3.7,1.5,0.4,I. setosa
23,4.6,3.6,1,0.2,I. setosa
24,5.1,3.3,1.7,0.5,I. setosa
25,4.8,3.4,1.9,0.2,I. setosa
26,5,3,1.6,0.2,I. setosa
27,5,3.4,1.6,0.4,I. setosa
28,5.2,3.5,1.5,0.2,I. setosa
29,5.2,3.4,1.4,0.2,I. setosa
30,4.7,3.2,1.6,0.2,I. setosa
31,4.8,3.1,1.6,0.2,I. setosa
32,5.4,3.4,1.5,0.4,I. setosa
33,5.2,4.1,1.5,0.1,I. setosa
34,5.5,4.2,1.4,0.2,I. setosa
35,4.9,3.1,1.5,0.2,I. setosa
36,5,3.2,1.2,0.2,I. setosa
37,5.5,3.5,1.3,0.2,I. setosa
38,4.9,3.6,1.4,0.1,I. setosa
39,4.4,3,1.3,0.2,I. setosa
40,5.1,3.4,1.5,0.2,I. setosa
41,5,3.5,1.3,0.3,I. setosa
42,4.5,2.3,1.3,0.3,I. setosa
43,4.4,3.2,1.3,0.2,I. setosa
44,5,3.5,1.6,0.6,I. setosa
45,5.1,3.8,1.9,0.4,I. setosa
46,4.8,3,1.4,0.3,I. setosa
47,5.1,3.8,1.6,0.2,I. setosa
48,4.6,3.2,1.4,0.2,I. setosa
49,5.3,3.7,1.5,0.2,I. setosa
50,5,3.3,1.4,0.2,I. setosa
51,7,3.2,4.7,1.4,I. versicolor
52,6.4,3.2,4.5,1.5,I. versicolor
53,6.9,3.1,4.9,1.5,I. versicolor
54,5.5,2.3,4,1.3,I. versicolor
55,6.5,2.8,4.6,1.5,I. versicolor
56,5.7,2.8,4.5,1.3,I. versicolor
57,6.3,3.3,4.7,1.6,I. versicolor
58,4.9,2.4,3.3,1,I. versicolor
59,6.6,2.9,4.6,1.3,I. versicolor
60,5.2,2.7,3.9,1.4,I. versicolor
61,5,2,3.5,1,I. versicolor
62,5.9,3,4.2,1.5,I. versicolor
63,6,2.2,4,1,I. versicolor
64,6.1,2.9,4.7,1.4,I. versicolor
65,5.6,2.9,3.6,1.3,I. versicolor
66,6.7,3.1,4.4,1.4,I. versicolor
67,5.6,3,4.5,1.5,I. versicolor
68,5.8,2.7,4.1,1,I. versicolor
69,6.2,2.2,4.5,1.5,I. versicolor
70,5.6,2.5,3.9,1.1,I. versicolor
71,5.9,3.2,4.8,1.8,I. versicolor
72,6.1,2.8,4,1.3,I. versicolor
73,6.3,2.5,4.9,1.5,I. versicolor
74,6.1,2.8,4.7,1.2,I. versicolor
75,6.4,2.9,4.3,1.3,I. versicolor
76,6.6,3,4.4,1.4,I. versicolor
77,6.8,2.8,4.8,1.4,I. versicolor
78,6.7,3,5,1.7,I. versicolor
79,6,2.9,4.5,1.5,I. versicolor
80,5.7,2.6,3.5,1,I. versicolor
81,5.5,2.4,3.8,1.1,I. versicolor
82,5.5,2.4,3.7,1,I. versicolor
83,5.8,2.7,3.9,1.2,I. versicolor
84,6,2.7,5.1,1.6,I. versicolor
85,5.4,3,4.5,1.5,I. versicolor
86,6,3.4,4.5,1.6,I. versicolor
87,6.7,3.1,4.7,1.5,I. versicolor
88,6.3,2.3,4.4,1.3,I. versicolor
89,5.6,3,4.1,1.3,I. versicolor
90,5.5,2.5,4,1.3,I. versicolor
91,5.5,2.6,4.4,1.2,I. versicolor
92,6.1,3,4.6,1.4,I. versicolor
93,5.8,2.6,4,1.2,I. versicolor
94,5,2.3,3.3,1,I. versicolor
95,5.6,2.7,4.2,1.3,I. versicolor
96,5.7,3,4.2,1.2,I. versicolor
97,5.7,2.9,4.2,1.3,I. versicolor
98,6.2,2.9,4.3,1.3,I. versicolor
99,5.1,2.5,3,1.1,I. versicolor
100,5.7,2.8,4.1,1.3,I. versicolor
